frame,time,tries,hash
134,5.6042,1,AF41B7766E5FE07D687B7EEDB801E72D
135,5.6458,1,EBE31FCF83EDA44485A902F21732C8C9
136,5.6875,1,32013078BF68DB5BE61188DB1FD5CAB1
137,5.7292,1,F566C6484D501AB472EF8D84F1878222
138,5.7708,1,CD687E590E37E81BBA75E0BB00EEA4B1
139,5.8125,1,63FEB54AF83CFF62205A14F9D86A6926
140,5.8542,1,47331B4D14943904A5F844D1BD5056F8
141,5.8958,1,C9ED76BD7BD23F015CFF57B47E539605
142,5.9375,1,BAB4AE265CC490834B7A81E35D0FBBCF
143,5.9792,1,F8185472534C3BAA2C922B946A693F84
144,6.0208,1,F05528FCB9DE68AC0A4C11C97511A0FE
145,6.0625,1,250C99935DB0332722C973F3DC56DC0A
146,6.1042,1,086A1F3E72FF9DE1F6F934A099BB3355
147,6.1458,1,DE09BA3C2A12E1D79FF1481C0749AB87
148,6.1875,1,70097D36A4AE50C37552EDD2F3AABF19
149,6.2292,1,6EF295E4EA8C5B5B68FC1060B11CCE3D
150,6.2708,1,2AEEF0BEB68F5FEA973BBE3BF4138E5F
151,6.3125,1,4740389A6A1352C512C19BFEA1309E3A
152,6.3542,1,EA9B8E9D636164235CFD1A2D47A69597
153,6.3958,1,04D4C9FDBAE73EB93A4B25DC455D7E73
154,6.4375,1,7562854FACB966D3519E9A549C7754FD
155,6.4792,1,847907FE96274AA13E0388307095B761
156,6.5208,1,75DB9253C03FDB8CB45B037B8B6C039D
157,6.5625,1,65C1FA887EABE621C7BB1B558A80A6C2
158,6.6042,1,AF6075A2DF928D1FE31D26E34442B348
159,6.6458,1,7E18EFDF15651A99BC4A287021981222
160,6.6875,1,FC1B76D33890762254CEADF0A23F47B3
161,6.7292,1,6ADA69DB0B5FD1B3F0DBC167C767C77E
162,6.7708,1,061F98A5CCC9A231C2B17DE51D3D2D36
163,6.8125,1,727F22529FD23CE85EF99D65516F0A71
164,6.8542,1,0FCA5E1A0C93A61E1B5CA4522B9D4F6B
165,6.8958,1,92273B628A0C9DEB61C3C47ADC38E99A
166,6.9375,1,5DD24E070068E7E2B8BB34CC10B68474
